Country,Product,Month,Quantity_x,Year,Month_Num_x,month_sin_x,month_cos_x,Quantity_y,Month_Num_y,month_sin_y,month_cos_y
Japan,MorningMint,Jan2023,0,2023,1,0.49999999999999994,0.8660254037844387,0,1,0.49999999999999994,0.8660254037844387
Japan,MorningMint,Feb2023,0,2023,2,0.8660254037844386,0.5000000000000001,0,2,0.8660254037844386,0.5000000000000001
Japan,MorningMint,Mar2023,0,2023,3,1.0,6.123233995736766e-17,0,3,1.0,6.123233995736766e-17
Japan,MorningMint,Apr2023,0,2023,4,0.8660254037844387,-0.4999999999999998,0,4,0.8660254037844387,-0.4999999999999998
Japan,MorningMint,May2023,0,2023,5,0.49999999999999994,-0.8660254037844387,0,5,0.49999999999999994,-0.8660254037844387
Japan,MorningMint,Jun2023,0,2023,6,1.2246467991473532e-16,-1.0,0,6,1.2246467991473532e-16,-1.0
Japan,MorningMint,Jul2023,0,2023,7,-0.4999999999999997,-0.8660254037844388,0,7,-0.4999999999999997,-0.8660254037844388
Japan,MorningMint,Aug2023,0,2023,8,-0.8660254037844384,-0.5000000000000004,0,8,-0.8660254037844384,-0.5000000000000004
Japan,MorningMint,Sep2023,0,2023,9,-1.0,-1.8369701987210297e-16,0,9,-1.0,-1.8369701987210297e-16
Japan,MorningMint,Oct2023,0,2023,10,-0.8660254037844386,0.5000000000000001,0,10,-0.8660254037844386,0.5000000000000001
Japan,MorningMint,Nov2023,0,2023,11,-0.5000000000000004,0.8660254037844384,0,11,-0.5000000000000004,0.8660254037844384
Japan,MorningMint,Dec2023,0,2023,12,-2.4492935982947064e-16,1.0,0,12,-2.4492935982947064e-16,1.0
Japan,FreshStart Toothpaste,Jan2023,1438,2023,1,0.49999999999999994,0.8660254037844387,315,1,0.49999999999999994,0.8660254037844387
Japan,FreshStart Toothpaste,Feb2023,1381,2023,2,0.8660254037844386,0.5000000000000001,45,2,0.8660254037844386,0.5000000000000001
Japan,FreshStart Toothpaste,Mar2023,1415,2023,3,1.0,6.123233995736766e-17,3,3,1.0,6.123233995736766e-17
Japan,FreshStart Toothpaste,Apr2023,1463,2023,4,0.8660254037844387,-0.4999999999999998,3,4,0.8660254037844387,-0.4999999999999998
Japan,FreshStart Toothpaste,May2023,1276,2023,5,0.49999999999999994,-0.8660254037844387,3,5,0.49999999999999994,-0.8660254037844387
Japan,FreshStart Toothpaste,Jun2023,1286,2023,6,1.2246467991473532e-16,-1.0,3,6,1.2246467991473532e-16,-1.0
Japan,FreshStart Toothpaste,Jul2023,1295,2023,7,-0.4999999999999997,-0.8660254037844388,2,7,-0.4999999999999997,-0.8660254037844388
Japan,FreshStart Toothpaste,Aug2023,1336,2023,8,-0.8660254037844384,-0.5000000000000004,2,8,-0.8660254037844384,-0.5000000000000004
Japan,FreshStart Toothpaste,Sep2023,1302,2023,9,-1.0,-1.8369701987210297e-16,2,9,-1.0,-1.8369701987210297e-16
Japan,FreshStart Toothpaste,Oct2023,1354,2023,10,-0.8660254037844386,0.5000000000000001,2,10,-0.8660254037844386,0.5000000000000001
Japan,FreshStart Toothpaste,Nov2023,1412,2023,11,-0.5000000000000004,0.8660254037844384,2,11,-0.5000000000000004,0.8660254037844384
Japan,FreshStart Toothpaste,Dec2023,1408,2023,12,-2.4492935982947064e-16,1.0,2,12,-2.4492935982947064e-16,1.0
Japan,SmileShield Whitening Strips,Jan2023,0,2023,1,0.49999999999999994,0.8660254037844387,0,1,0.49999999999999994,0.8660254037844387
Japan,SmileShield Whitening Strips,Feb2023,0,2023,2,0.8660254037844386,0.5000000000000001,0,2,0.8660254037844386,0.5000000000000001
Japan,SmileShield Whitening Strips,Mar2023,0,2023,3,1.0,6.123233995736766e-17,0,3,1.0,6.123233995736766e-17
Japan,SmileShield Whitening Strips,Apr2023,0,2023,4,0.8660254037844387,-0.4999999999999998,0,4,0.8660254037844387,-0.4999999999999998
Japan,SmileShield Whitening Strips,May2023,0,2023,5,0.49999999999999994,-0.8660254037844387,0,5,0.49999999999999994,-0.8660254037844387
Japan,SmileShield Whitening Strips,Jun2023,0,2023,6,1.2246467991473532e-16,-1.0,0,6,1.2246467991473532e-16,-1.0
Japan,SmileShield Whitening Strips,Jul2023,0,2023,7,-0.4999999999999997,-0.8660254037844388,0,7,-0.4999999999999997,-0.8660254037844388
Japan,SmileShield Whitening Strips,Aug2023,0,2023,8,-0.8660254037844384,-0.5000000000000004,0,8,-0.8660254037844384,-0.5000000000000004
Japan,SmileShield Whitening Strips,Sep2023,0,2023,9,-1.0,-1.8369701987210297e-16,0,9,-1.0,-1.8369701987210297e-16
Japan,SmileShield Whitening Strips,Oct2023,0,2023,10,-0.8660254037844386,0.5000000000000001,0,10,-0.8660254037844386,0.5000000000000001
Japan,SmileShield Whitening Strips,Nov2023,0,2023,11,-0.5000000000000004,0.8660254037844384,0,11,-0.5000000000000004,0.8660254037844384
Japan,SmileShield Whitening Strips,Dec2023,0,2023,12,-2.4492935982947064e-16,1.0,0,12,-2.4492935982947064e-16,1.0
Japan,BriteBite Toothbrush,Jan2023,855,2023,1,0.49999999999999994,0.8660254037844387,315,1,0.49999999999999994,0.8660254037844387
Japan,BriteBite Toothbrush,Feb2023,896,2023,2,0.8660254037844386,0.5000000000000001,48,2,0.8660254037844386,0.5000000000000001
Japan,BriteBite Toothbrush,Mar2023,864,2023,3,1.0,6.123233995736766e-17,19,3,1.0,6.123233995736766e-17
Japan,BriteBite Toothbrush,Apr2023,858,2023,4,0.8660254037844387,-0.4999999999999998,14,4,0.8660254037844387,-0.4999999999999998
Japan,BriteBite Toothbrush,May2023,891,2023,5,0.49999999999999994,-0.8660254037844387,23,5,0.49999999999999994,-0.8660254037844387
Japan,BriteBite Toothbrush,Jun2023,880,2023,6,1.2246467991473532e-16,-1.0,26,6,1.2246467991473532e-16,-1.0
Japan,BriteBite Toothbrush,Jul2023,879,2023,7,-0.4999999999999997,-0.8660254037844388,21,7,-0.4999999999999997,-0.8660254037844388
Japan,BriteBite Toothbrush,Aug2023,849,2023,8,-0.8660254037844384,-0.5000000000000004,16,8,-0.8660254037844384,-0.5000000000000004
